feature,precision,recall,f1,category
workclass,0.6775956284153005,0.24849699398797595,0.36363636363636365, Private
workclass,0.6551724137931034,0.2676056338028169,0.38, Self-emp-not-inc
workclass,0.74,0.2890625,0.4157303370786517, Local-gov
workclass,0.7619047619047619,0.26666666666666666,0.3950617283950617, State-gov
workclass,0.6190476190476191,0.35135135135135137,0.4482758620689656, ?
workclass,0.9,0.3157894736842105,0.4675324675324675, Self-emp-inc
workclass,0.6521739130434783,0.18292682926829268,0.28571428571428575, Federal-gov
workclass,1.0,1.0,1.0, Without-pay
education,0.48412698412698413,0.18654434250764526,0.2693156732891832, HS-grad
education,0.803921568627451,0.2739420935412027,0.40863787375415284, Bachelors
education,0.3,0.2727272727272727,0.28571428571428564, 10th
education,0.5,0.16666666666666666,0.25, 12th
education,0.625,0.23076923076923078,0.33707865168539325, Some-college
education,0.0,1.0,0.0, 1st-4th
education,0.8918918918918919,0.30414746543778803,0.4536082474226804, Masters
education,0.9393939393939394,0.34065934065934067,0.5, Prof-school
education,0.3333333333333333,0.2,0.25, 7th-8th
education,0.3333333333333333,0.5,0.4, 5th-6th
education,1.0,0.3157894736842105,0.4799999999999999, Doctorate
education,0.75,0.375,0.5, 9th
education,0.7407407407407407,0.31746031746031744,0.4444444444444444, Assoc-voc
education,0.7333333333333333,0.21568627450980393,0.3333333333333333, Assoc-acdm
education,0.3,0.3333333333333333,0.3157894736842105, 11th
education,1.0,1.0,1.0, Preschool
marital-status,0.7857142857142857,0.24166666666666667,0.36964078794901506, Married-civ-spouse
marital-status,0.6226415094339622,0.358695652173913,0.45517241379310347, Divorced
marital-status,0.4318181818181818,0.36538461538461536,0.3958333333333333, Never-married
marital-status,0.3333333333333333,0.2631578947368421,0.29411764705882354, Separated
marital-status,0.3333333333333333,0.125,0.18181818181818182, Married-spouse-absent
marital-status,0.5,0.4117647058823529,0.45161290322580644, Widowed
marital-status,1.0,0.0,0.0, Married-AF-spouse
occupation,0.547945205479452,0.22988505747126436,0.32388663967611336, Craft-repair
occupation,0.8244274809160306,0.2755102040816326,0.41300191204588904, Prof-specialty
occupation,0.7,0.28717948717948716,0.40727272727272723, Sales
occupation,0.42105263157894735,0.16666666666666666,0.23880597014925375, Machine-op-inspct
occupation,0.375,0.23076923076923078,0.2857142857142857, Farming-fishing
occupation,0.5789473684210527,0.16417910447761194,0.2558139534883721, Transport-moving
occupation,0.9069767441860465,0.29545454545454547,0.4457142857142857, Exec-managerial
occupation,0.5384615384615384,0.2692307692307692,0.3589743589743589, Adm-clerical
occupation,0.4166666666666667,0.25,0.3125, Handlers-cleaners
occupation,0.6190476190476191,0.35135135135135137,0.4482758620689656, ?
occupation,0.13333333333333333,0.06666666666666667,0.08888888888888888, Other-service
occupation,0.625,0.14705882352941177,0.2380952380952381, Protective-serv
occupation,0.625,0.15873015873015872,0.2531645569620253, Tech-support
occupation,1.0,1.0,1.0, Priv-house-serv
occupation,1.0,1.0,1.0, Armed-Forces
relationship,0.7903682719546742,0.2372448979591837,0.3649444081098758, Husband
relationship,0.5384615384615384,0.3146067415730337,0.39716312056737585, Not-in-family
relationship,0.18518518518518517,0.38461538461538464,0.25, Own-child
relationship,0.5641025641025641,0.44,0.49438202247191015, Unmarried
relationship,0.42857142857142855,0.5,0.4615384615384615, Other-relative
relationship,0.7755102040816326,0.2753623188405797,0.40641711229946526, Wife
race,0.7104761904761905,0.2610216934919524,0.38178096212896623, White
race,0.4583333333333333,0.18333333333333332,0.2619047619047619, Black
race,0.75,0.375,0.5, Amer-Indian-Eskimo
race,0.6,0.2,0.3, Asian-Pac-Islander
race,0.6666666666666666,1.0,0.8, Other
sex,0.7308533916849015,0.250187265917603,0.37276785714285715, Male
sex,0.5655737704918032,0.3053097345132743,0.396551724137931, Female
native-country,0.6985018726591761,0.25993031358885016,0.37887252412392075, United-States
native-country,0.5,0.16666666666666666,0.25, Canada
native-country,0.5,0.2857142857142857,0.36363636363636365, Mexico
native-country,1.0,0.0,0.0, Nicaragua
native-country,1.0,1.0,1.0, El-Salvador
native-country,1.0,0.0,0.0, Cuba
native-country,1.0,0.3333333333333333,0.5, Taiwan
native-country,1.0,1.0,1.0, Haiti
native-country,0.3333333333333333,0.3333333333333333,0.3333333333333333, South
native-country,0.7857142857142857,0.34375,0.4782608695652174, ?
native-country,0.5,1.0,0.6666666666666666, Puerto-Rico
native-country,0.6666666666666666,0.6666666666666666,0.6666666666666666, China
native-country,0.0,0.0,1.0, Columbia
native-country,0.5,0.16666666666666666,0.25, Germany
native-country,1.0,1.0,1.0, Honduras
